Year,Country,Cases
2022,Australia,51884
2025,Australia,56941
2030,Australia,65782
2035,Australia,74920
2040,Australia,83309
2045,Australia,91225
2050,Australia,98748
2022,Brazil,278835
2025,Brazil,290149
2030,Brazil,338586
2035,Brazil,391387
2040,Brazil,446415
2045,Brazil,501170
2050,Brazil,553811
2022,Canada,100465
2025,Canada,110210
2030,Canada,129221
2035,Canada,149893
2040,Canada,169091
2045,Canada,185083
2050,Canada,195848
2022,Germany,253170
2025,Germany,260999
2030,Germany,275530
2035,Germany,293552
2040,Germany,311967
2045,Germany,326762
2050,Germany,332738
2022,Japan,426278
2025,Japan,458542
2030,Japan,482989
2035,Japan,498949
2040,Japan,497292
2045,Japan,494689
2050,Japan,502969
2022,Korea,97615
2025,Korea,112231
2030,Korea,133791
2035,Korea,156864
2040,Korea,181149
2045,Korea,203568
2050,Korea,218703
2022,New Zealand,11301
2025,New Zealand,12602
2030,New Zealand,14590
2035,New Zealand,16591
2040,New Zealand,18428
2045,New Zealand,20075
2050,New Zealand,21479
2022,Poland,119992
2025,Poland,123722
2030,Poland,135489
2035,Poland,147277
2040,Poland,156831
2045,Poland,162929
2050,Poland,167713
2022,United Kingdom,181807
2025,United Kingdom,190505
2030,United Kingdom,210018
2035,United Kingdom,229943
2040,United Kingdom,247247
2045,United Kingdom,263974
2050,United Kingdom,279004
2022,United States of America,605761
2025,United States of America,647544
2030,United States of America,728938
2035,United States of America,808789
2040,United States of America,878688
2045,United States of America,933476
2050,United States of America,974831
